key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trialnumber,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,3.738,space,24.022,space,9.294,44.8,4.48,304.9107143,171.4285714,1366,space,45.256,space,27.884,89.6,space,9.955,space,9.45,space,4.574,space,10.113,space,11.508,space,10.842,space,16.054,space,11.956,space,17.223,return,8.95,-417.996,896.6517696,0,0,0,0,1,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,8.87,-458.976,934.7531196,1,0,1,0,1,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.261,-385.212,866.1706897,2,0,2,0,1,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,6.971,-288.909,776.6325172,3,0,3,0,1,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,9.867,-448.731,925.2277821,4,0,4,0,1,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,88,15.36045164,103.222235,688.1482336,68.81482336,309.6667051,space,11.008,space,17.881,space,25.867,space,7.104,space,4.314,space,5.936,5,FF,-79,31,1,0,0,response7disk_5,6,1,6.579,-3,-3,1,0,0,rectangle_8,-3,-3,1,0,0,6,-3,-3,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,9,FF,-44,77,1,0,0,response7disk_5,8,0,4.252,-1,-1,1,0,0,rectangle_8,72,41,1,0,0,6,-11,5,1,0,0,0,1,1,5,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,2,PF,48,92,1,0,0,response1disk_5,9,7,2.626,6,4,1,0,0,rectangle_8,99,45,1,0,0,6,-8,3,1,0,0,0,2,2,2,1,response1disk_7,6,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,8,PF,49,73,1,0,0,response1disk_5,3,7,1.584,2,6,1,0,0,rectangle_8,2,6,1,0,0,6,2,6,1,0,0,0,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5b3937c57bc6be00010caf12,5fb5da77803f501d7b68b129,2020-11-18_20h38.33.652,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,3,PF,-53,-85,1,0,0,response5disk_5,4,3,2.96,0,1,1,0,0,rectangle_8,0,1,1,0,0,6,0,1,1,0,0,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
