key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trialnumber,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,9.455905,space,9.031015,space,5.745085,37.4,3.74,513.368984,288.7700535,1920,space,38.032705,space,12.06709,74.8,space,13.794595,space,3.759765,space,1.902755,space,7.02602,space,9.794385,space,16.183685,space,9.395595,space,10.47,space,10.805685,return,2.554265,164.16,672.5068307,0,0,0,0,1,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.540615,169.92,666.0918211,1,0,1,0,1,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.360525,207.36,624.3942593,2,0,2,0,1,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.507455,175.68,659.6768116,3,0,3,0,1,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,2.466585,184.32,650.0542974,4,0,4,0,1,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,65,11.34578815,63.6498715,424.3324766,42.43324766,190.9496145,space,3.51762,space,21.033575,space,35.03532,space,3.39832,space,8.72522,space,6.212635,5,FF,84,115,1,0,0,response1disk_5,6,7,18.884825,-14,-4,1,0,0,rectangle_8,-14,-4,1,0,0,4,-14,-4,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,6,FF,114,59,1,0,0,response1disk_5,9,6,5.58915,17,14,1,0,0,rectangle_8,17,14,1,0,0,4,17,14,1,0,0,0,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,1,PF,-42,112,1,0,0,response7disk_5,1,0,7.672365,-8,1,1,0,0,rectangle_8,66,-137,1,0,0,4,5,-5,1,0,0,0,2,2,4,1,response3disk_7,4,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,7,PF,54,136,1,0,0,response1disk_5,4,7,5.82277,25,-1,1,0,0,rectangle_8,25,-1,1,0,0,4,25,-1,1,0,0,0,3,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5cf80c2ccbe8f10016dba137,5fb5d95ea1b9851d799bf75a,2020-11-18_20h34.49.712,Colour_Similarity_Experiment,2020.1.2,Linux x86_64,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,4,FF,-27,127,1,0,0,response7disk_5,4,0,4.37956,8,-16,1,0,0,rectangle_8,8,-16,1,0,0,4,8,-16,1,0,0,0,4,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
