key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trialnumber,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,1.572,space,10.964,space,5.304,41.3,4.13,464.8910412,261.5012107,1920,space,28.213,space,7.842,82.6,space,6.44,space,2.47,space,2.417,space,3.614,space,5.337,space,7.867,space,4.879,space,5.257,space,13.495,return,6.402,-144,919.7953511,0,0,0,0,1,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.226,2.88,771.6598893,1,0,1,0,1,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.985,-97.92,873.3214808,2,0,2,0,1,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,5.216,-5.76,780.37374,3,0,3,0,1,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.993,37.44,736.8044865,4,0,4,0,1,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,82,14.31314812,88.66995262,591.1330174,59.11330174,266.0098579,space,2.928,space,27.93,space,11.364,space,3.565,space,3.382,space,2.927,9,FF,106,49,1,0,0,response1disk_5,4,6,5.635,12,-3,1,0,0,rectangle_8,12,-3,1,0,0,0,12,-3,1,0,0,0,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,5,PF,47,-95,1,0,0,response3disk_5,9,4,3.567,4,-1,1,0,0,rectangle_8,4,-1,1,0,0,0,4,-1,1,0,0,0,1,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,3,FF,-93,30,1,0,0,response7disk_5,2,1,2.084,-9,0,1,0,0,rectangle_8,-40,161,1,0,0,0,2,15,1,0,0,0,2,2,5,1,response7disk_7,0,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,4,PF,83,33,1,0,0,response1disk_5,8,6,1.825,-25,-12,1,0,0,rectangle_8,-33,101,1,0,0,0,-14,-7,1,0,0,0,3,3,4,1,response7disk_7,0,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,2,PF,72,-50,1,0,0,response3disk_5,7,5,1.984,7,-20,1,0,0,rectangle_8,7,-20,1,0,0,0,7,-20,1,0,0,0,4,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,6,PF,-129,52,1,0,0,response7disk_5,7,1,1.466,-15,5,1,0,0,rectangle_8,-15,5,1,0,0,0,-15,5,1,0,0,0,5,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,5,FF,33,-103,1,0,0,response3disk_5,8,4,1.5,-21,-6,1,0,0,rectangle_8,-21,-6,1,0,0,0,-21,-6,1,0,0,0,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,3,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.37,7,-28,-88,1,0,0,response5disk,3,24,3,1,0,0,rectangle,24,3,1,0,0,,0,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",24,3,1,0,0,0,1,0,0,81,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,3,2.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-80,-82,1,0,0,response5disk,7,16,-7,1,0,0,rectangle,16,-7,1,0,0,,2,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",16,-7,1,0,0,0,2,1,1,23,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,3,2.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,-50,-105,1,0,0,response5disk,6,0,-11,1,0,0,rectangle,0,-11,1,0,0,,1,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",0,-11,1,0,0,0,3,2,2,37,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,2,3.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-58,-47,1,0,0,response5disk,8,11,-5,1,0,0,rectangle,11,-5,1,0,0,,2,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",11,-5,1,0,0,0,4,3,3,27,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,0,1.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-40,114,1,0,0,response7disk,7,-4,-7,1,0,0,rectangle,-4,-7,1,0,0,,0,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-4,-7,1,0,0,0,5,4,4,34,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,5,1.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,68,-51,1,0,0,response3disk,2,6,-13,1,0,0,rectangle,6,-13,1,0,0,,1,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",6,-13,1,0,0,0,6,5,5,138,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,4,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,43,-45,1,0,0,response3disk,3,-15,13,1,0,0,rectangle,-15,13,1,0,0,,1,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-15,13,1,0,0,0,7,6,6,119,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,4,1.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,38,-80,1,0,0,response3disk,8,2,-2,1,0,0,rectangle,2,-2,1,0,0,,0,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",2,-2,1,0,0,0,8,7,7,64,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,3,1.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,-37,-94,1,0,0,response5disk,6,-4,-19,1,0,0,rectangle,-4,-19,1,0,0,,5,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-4,-19,1,0,0,0,9,8,8,95,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,5,1.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,71,-44,1,0,0,response3disk,8,13,-2,1,0,0,rectangle,13,-2,1,0,0,,5,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",13,-2,1,0,0,0,10,9,9,16,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,2,2.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-61,-40,1,0,0,response5disk,4,-11,-9,1,0,0,rectangle,-11,-9,1,0,0,,2,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-11,-9,1,0,0,0,11,10,10,43,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,3,1.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-38,-70,1,0,0,response5disk,9,-3,-4,1,0,0,rectangle,-104,54,1,0,0,1,1,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-10,-5,1,0,0,0,12,11,11,160,1,response7disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,2,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,-92,-56,1,0,0,response5disk,6,-14,-10,1,0,0,rectangle,-14,-10,1,0,0,1,1,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-14,-10,1,0,0,0,13,12,12,103,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,4,1.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,45,-71,1,0,0,response3disk,2,0,-4,1,0,0,rectangle,0,-4,1,0,0,1,3,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",0,-4,1,0,0,0,14,13,13,13,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-95,-38,1,0,0,response5disk,6,-7,0,1,0,0,rectangle,-7,0,1,0,0,1,4,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-7,0,1,0,0,0,15,14,14,29,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,3,1.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-40,-76,1,0,0,response5disk,8,-19,-4,1,0,0,rectangle,-19,-4,1,0,0,1,1,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-19,-4,1,0,0,0,16,15,15,140,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,0,1.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,-52,90,1,0,0,response7disk,2,-12,-10,1,0,0,rectangle,-12,-10,1,0,0,1,2,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-12,-10,1,0,0,0,17,16,16,142,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,2,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,-86,-47,1,0,0,response5disk,9,4,-1,1,0,0,rectangle,-88,42,1,0,0,1,1,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-24,19,1,0,0,0,18,17,17,45,1,response7disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,3,1.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-45,-109,1,0,0,response5disk,6,5,-11,1,0,0,rectangle,5,-11,1,0,0,1,5,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",5,-11,1,0,0,0,19,18,18,117,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,5,3.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,105,-35,1,0,0,response3disk,7,20,-18,1,0,0,rectangle,20,-18,1,0,0,1,1,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",20,-18,1,0,0,0,20,19,19,118,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,2,2.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-97,-53,1,0,0,response5disk,5,-19,0,1,0,0,rectangle,-19,0,1,0,0,1,4,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-19,0,1,0,0,0,21,20,20,49,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,3,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,-36,-87,1,0,0,response5disk,7,-4,-18,1,0,0,rectangle,-4,-18,1,0,0,1,6,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",-4,-18,1,0,0,0,22,21,21,100,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5db43b6a2f45e7000bb7ab5c,5fb5f14e9cf6752068e776d7,2020-11-19_05h15.33.032,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-54,135,1,0,0,response7disk,7,2,-18,1,0,0,rectangle,2,-18,1,0,0,1,2,"[194,66,46,191,122,18,180,70,148,30,165,120,117,196,248,111,12,28,121,190]",2,-18,1,0,0,0,23,22,22,51,1,,,,,,,,,,,,,,,,,,,,,
