key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,mouse_7.clicked_name,catchprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,catchtrialorder,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trialnumber,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
space,2.69616,space,3.90671,space,5.14089,47.3,4.73,405.9196617,228.3298097,1920,space,22.315145,space,9.81866,94.6,space,3.920845,space,4.402295,space,1.052355,space,2.84,space,5.28003,space,7.60158,space,3.594805,space,0.885185,space,2.68033,return,30.521805,-3568.32,3818.621438,0,0,0,0,1,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.555875,-51.84,721.9620784,1,0,1,0,1,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.220925,20.16,658.5579146,2,0,2,0,1,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,3.53586,-46.08,716.8897453,3,0,3,0,1,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,4.81911,-322.56,960.3617343,4,0,4,0,1,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,138,24.08798099,170.9042251,1139.361501,113.9361501,512.7126753,space,3.03841,space,3.53338,space,3.91668,space,1.920575,space,0.93991,space,3.796085,4,PF,129,-51,1,0,0,response3disk_5,7,5,12.04995,-4,-1,1,0,0,rectangle_8,-4,-1,1,0,0,3,-4,-1,1,0,0,0,0,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,8,PF,-137,57,1,0,0,response7disk_5,4,1,3.92568,-10,8,1,0,0,rectangle_8,-75,-124,1,0,0,3,-6,-1,1,0,0,0,1,1,1,1,response5disk_7,3,rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,5,PF,59,115,1,0,0,response1disk_5,9,7,7.7866,-2,0,1,0,0,rectangle_8,-2,0,1,0,0,3,-2,0,1,0,0,0,2,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,8,FF,56,102,1,0,0,response1disk_5,7,7,8.142075,0,0,1,0,0,rectangle_8,0,0,1,0,0,3,0,0,1,0,0,0,3,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eadd6d03dcdd00d2aea4c72,5fb5d86bb10d321df4d83ada,2020-11-18_20h50.28.028,Colour_Similarity_Experiment,2020.1.2,Win32,60,5fb5945709dec70f2d595766,,,,,,,,,,,,,,,,,,,5,PF,-62,-124,1,0,0,response5disk_5,7,3,8.253045,-8,-3,1,0,0,rectangle_8,-8,-3,1,0,0,3,-8,-3,1,0,0,0,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
